plate,delta_x_px,delta_y_px,scatter_px,offset_arcsec,n_tiles,status
XE002,0.0233449954557727,-0.0100673360593646,0.0128155238421665,0.0431970593184586,4,ok
XE003,-4.967522545484826e-05,-0.0142954401444512,0.0151395809913423,0.02428979203298,4,ok
XE004,0.000333183931616,0.003745358987544,0.0075114995229919,0.006388939476831,4,ok
XE005,0.029385524177087,-0.0126049310056259,0.0142996730493817,0.0543291166650601,4,ok
XE006,0.0155024115647393,0.0026354526835348,0.0100348112418896,0.0267183532110466,4,ok
XE007,-0.0008335426018675,-0.0034719740810942,0.0043905914741124,0.0060669228213841,4,ok
XE008,0.0057940225951824,-0.0007705623697802,0.0077354647693115,0.0099314108845315,4,ok
XE009,-0.0024989080620798,-0.007388689680738,0.0164514228253357,0.0132528269008161,4,ok
XE010,-0.0055312433560175,-0.0225319282430973,0.0207338233704126,0.0394211010818689,4,ok
XE011,-0.0037065476062707,-0.0452049245363923,0.0077672804774701,0.0770662810837737,4,ok
XE012,0.0035188567662771,-0.0006682368389192,0.0150987664813216,0.0060858079250315,4,ok
XE013,0.0044943620468984,0.0094318871788345,0.0162313943837352,0.0177523143946037,4,ok
XE014,0.0135370697971666,-0.009332431250641,0.0184429528653842,0.0279372750880003,4,ok
XE015,0.003156614288855,-0.0043619131092782,0.0071240484084686,0.0091485337350493,4,ok
XE016,-0.0068876964378432,-0.0063038456491995,0.0179914483274046,0.0158646014593469,4,ok
XE017,-0.0069783478693352,0.0031283087564588,0.0217020371948676,0.0129939411334514,4,ok
XE018,-0.0054624000113108,-0.0201854736087625,0.0263727842882368,0.0355311276838302,4,ok
XE019,-0.0038402463742386,-0.0025205274923791,0.0107901003068562,0.007804957483039,4,ok
XE020,-0.0036310817240519,-0.0074181428853989,0.0103476273668842,0.0140332778100626,4,ok
XE021,0.0099774065456585,-0.0027976558808404,0.0078635686890338,0.0176066318190752,4,ok
XE022,0.0022058022532291,0.0007342551812143,0.0088953323563633,0.0039501101681726,4,ok
XE023,0.012746805313327,-0.0060791878931922,0.0063996672759813,0.0239953523299434,4,ok
XE024,0.004389987997456,-0.0013907304960412,0.0091075972365181,0.0078244588522542,4,ok
XE025,-0.0087838565723359,-0.0172205118051351,0.0166922149179592,0.0328462995181557,4,ok
XE026,0.0135763270909592,0.0004661525240408,0.0113216102358829,0.0230813809212689,4,ok
XE027,0.0120014163376254,-0.010681632503747,0.0118786268157145,0.0272988246894573,4,ok
XE028,0.0052286965910752,-0.0064328065323024,0.017011360497535,0.0140852988193314,4,ok
XE029,-0.0019527162885424,-0.0153651472855926,0.0194645094954687,0.0263171913463189,4,ok
XE030,0.018180169234256,-0.0050124767353736,0.0191026151652303,0.0320428448058589,4,ok
XE031,0.0093868055046186,0.0087516344769937,0.0112480483425132,0.0218059339672746,4,ok
XE032,0.0153490833317846,0.0030619465314885,0.0125735159541837,0.0265937746216777,4,ok
XE033,-0.000109664843876,0.0080194797510557,0.0153801795244049,0.0136273195816553,4,ok
XE034,-0.0014907972590663,0.0070265537542582,0.0184756417010738,0.0122047018404523,4,ok
XE035,-0.001037772478412,-0.0058284055694457,0.0224590913690154,0.0100589076720912,4,ok
XE036,0.0061249507589309,-0.0018486864123588,0.0089046710119571,0.0108707283751198,4,ok
XE037,-0.0263495840272298,-0.0134627913171243,0.0213520272669539,0.0502763170801787,4,ok
XE038,-0.0103941562929321,-0.0232963302250936,0.0298974959429246,0.043344423363158,4,ok
XE039,0.0089028268548645,0.0050007042132165,0.004626706954374,0.0173499349051946,4,ok
XE040,-0.0011012764825863,0.0007444040529662,0.0074345728356349,0.0022585797991163,4,ok
XE041,-7.71459226598381e-05,-0.0037114220085641,0.0073918095708949,0.0063075075982078,4,ok
XE042,-0.0098616096202022,-0.0094728854119239,0.017385072508046,0.0232342809451709,4,ok
XE043,-0.0234080344553149,0.0058118298284171,0.0130288163761013,0.040980588713331,4,ok
XE044,0.0017329042875644,0.0001288548974116,0.0080256815657991,0.0029525382747257,4,ok
XE045,-0.0128829330460575,-0.0037480008500097,0.0208934448361805,0.0227971719494121,4,ok
XE046,0.0021181737092774,-0.0055735026335241,0.0142826086769577,0.0101308773662437,4,ok
XE047,-0.0075927413445242,-0.0008998290941235,0.0160803370957387,0.0129912478974933,4,ok
XE048,-0.0073339890541319,-0.021811068552779,0.0286677799178775,0.0390985606588813,4,ok
XE049,0.0080225695260196,-0.0133542594940081,0.0116347538189148,0.0264701635072824,4,ok
XE050,0.0137714192956082,-0.0047650753563175,0.0176688752921874,0.024760413163057,4,ok
XE051,0.0064373752366009,-0.0124517069443754,0.0186978558973722,0.0238170588015708,4,ok
XE052,-0.0060456777673607,0.0019919198307434,0.0193525695218311,0.0108155211659169,4,ok
XE053,-0.0015897297289484,-0.026524852575676,0.022270217977542,0.0451497369942678,4,ok
XE054,0.0111998044812935,0.0040185757306971,0.0160254114244544,0.0202176934863219,4,ok
XE055,0.0037209632473604,-0.0021847218222319,0.010666658681822,0.0073315682993166,4,ok
XE056,-0.0113360603236287,-0.0049682229355312,0.0194532651325973,0.0210299454541597,4,ok
XE057,-0.0046725964302822,-0.0067522453819037,0.0099272108705326,0.0139520254845794,4,ok
XE058,0.0089284490877616,0.0074952200277493,0.0068622775909757,0.0198073430364559,4,ok
XE059,-0.0002875424879675,-0.0010287600175615,0.0106580779295088,0.0018149796771527,4,ok
XE060,-0.0130220137534706,0.0018252386460062,0.0090535135589525,0.022342233588472,4,ok
XE061,-0.0176822980133692,-0.0073434463815829,0.0236073115585188,0.0325322328116021,4,ok
XE062,-0.0043815126864501,-0.0212028854621166,0.0215804513792387,0.0367873850630148,4,ok
XE063,0.0040546436111981,-0.0045428920352605,0.0129274510285157,0.0103462224018262,4,ok
XE064,-0.0139970764107602,-0.0199209344309565,0.0265422328766112,0.0413679251034834,4,ok
XE065,-0.0114517335568962,0.002053867939594,0.0151617272554862,0.0197683188883211,4,ok
XE066,-0.0098268132705925,-0.0150308677248176,0.0152158547451825,0.0305129328408463,4,ok
XE067,0.0064022194810604,0.0045309711204026,0.0103120542174303,0.0133267775248895,4,ok
XE068,0.0037176525665927,0.0193998927702523,0.0831463972872459,0.0335625038735652,4,ok
XE069,-0.2339931448259449,0.0260030195618128,0.0915066331149633,0.4000294493082463,4,ok
XE070,0.1887062411042279,0.0141319932185979,0.0929740501717308,0.3215321022355463,4,ok
XE071,0.0263543736855353,-0.0732789328480976,0.0401879468533477,0.1323170932150985,4,ok
XE072,0.0171157222230249,-0.0355180271048993,0.0801846255262246,0.0669909228278989,4,ok
XE073,-0.068214668703149,-0.020524375379864,0.0634541211617743,0.1210374837952395,4,ok
XE074,0.1289452132004953,-0.0747951098378507,0.1460373976894906,0.2532836564122094,4,ok
XE075,-0.0936758252319123,-0.0717826921372761,0.1290682774593706,0.2005241567532999,4,ok
XE076,-0.1246620792517205,0.0454275223728473,0.1442649364469419,0.2254410231695637,4,ok
XE077,-0.1539314795554673,-0.0852650553902094,0.1286115896288099,0.2989918814044747,4,ok
XE078,0.1292987807792087,-0.127213647672761,0.0884533010154337,0.3081991278042215,4,ok
XE079,0.1729972376524529,0.1013931595925896,0.0816518416544939,0.34070869023436,4,ok
XE080,0.1284868079274019,-0.1558425013126907,0.0576322655390852,0.3431871967842039,4,ok
XE081,0.1047982676027459,-0.1721853724470747,0.1068018590413435,0.3424913569055162,4,ok
XE082,-0.1290250802085211,-0.0333204310281871,0.1388537039727109,0.2264212975077214,4,ok
XE083,-0.062477976502123,0.0429668326119099,0.0767061155844819,0.1288380685930711,4,ok
XE084,-0.1310295474322629,0.0088889241255856,0.045175514803671,0.2231464250912131,4,ok
XE085,-0.029909459418377,0.0422354757829452,0.0615741848680395,0.0879351011106556,4,ok
XE086,-0.0313052798837816,-0.0625072388011176,0.1032801739446585,0.1187825401185676,4,ok
XE087,-0.0345043344946134,5.962903242107132e-05,0.0618836595635104,0.0586270371653275,4,ok
XE088,-0.1021400122181148,-0.0217516122197594,0.033003439543306,0.1774396652963519,4,ok
XE089,-0.2549660891027088,0.1006902035287566,0.0635304147682218,0.4657761249147758,4,ok
XE090,-0.0483447906754008,0.0309857203797037,0.1082418255897751,0.0975674805446885,4,ok
XE091,-0.1530843241698676,-0.0077237698319549,0.0850795924819808,0.2604392528485496,4,ok
XE092,-0.1587673895828629,0.0124753239633719,0.0433765098005146,0.2705961024282171,4,ok
XE093,-0.1638031094589678,-0.0752736576710049,0.0243414498747053,0.3063015316397726,4,ok
XE094,-0.1342778237667516,0.1179800753070594,0.0616169025995125,0.3037091897991089,4,ok
XE095,-0.0795727976747002,0.0096375810317113,0.0706632253289357,0.1361916596358654,4,ok
XE096,-0.1088619154061234,-0.0360586283391057,0.0895365645587133,0.1948522230606842,4,ok
XE097,0.6450819444144145,0.8661473574743468,0.0295570654504166,1.8350022153884813,4,ok
XE098,0.7405605090089011,0.9841191350642476,0.0254765871372029,2.092690632281856,4,ok
XE099,0.6840837674008071,0.963687850941824,0.0489808677318711,2.0080279267823,4,ok
