plate_id,ra_deg,dec_deg
XE002,2.000833,84.807111
XE003,44.678542,84.609056
XE004,84.512917,84.143861
XE005,121.015083,83.635944
XE006,155.191458,83.283056
XE007,188.363625,83.200472
XE008,221.824875,83.413056
XE009,256.885875,83.855278
XE010,294.814292,84.372306
XE011,336.132125,84.742333
XE012,1.922958,78.807111
XE013,26.498500,78.733167
XE014,50.763208,78.536306
XE015,74.503833,78.252889
XE016,97.630917,77.932194
XE017,120.170167,77.626028
XE018,142.229208,77.380444
XE019,163.963417,77.230167
XE020,185.551208,77.195583
XE021,207.179167,77.281250
XE022,229.031667,77.475750
XE023,251.279583,77.752306
XE024,274.061542,78.070833
XE025,297.454583,78.381972
XE026,321.438292,78.633806
XE027,345.868750,78.781306
XE028,1.899125,72.807111
XE029,19.656333,72.766306
XE030,37.334292,72.655861
XE031,54.868458,72.486611
XE032,72.212417,72.274750
XE033,89.341417,72.039833
XE034,106.252333,71.802944
XE035,122.960958,71.584389
XE036,139.498208,71.402417
XE037,155.905542,71.271667
XE038,172.231625,71.202444
XE039,188.529000,71.200167
XE040,204.851500,71.265000
XE041,221.251792,71.391889
XE042,237.778875,71.570861
XE043,254.474958,71.787472
XE044,271.371583,72.023778
XE045,288.485792,72.259444
XE046,305.815833,72.473528
XE047,323.338500,72.646194
XE048,341.008625,72.760972
XE049,358.762833,72.806694
XE050,1.695125,66.827917
XE051,15.308542,66.782722
XE052,28.704167,66.717000
XE053,42.052250,66.613611
XE054,55.334083,66.478306
XE055,68.535542,66.318444
XE056,81.647500,66.142639
XE057,94.666125,65.960083
XE058,107.592583,65.780222
XE059,120.432625,65.612083
XE060,133.195875,65.464028
XE061,145.895042,65.343222
XE062,158.545250,65.255417
XE063,171.163417,65.204833
XE064,183.767333,65.193778
XE065,196.375417,65.222833
XE066,209.005875,65.290583
XE067,221.676167,65.393889
XE068,234.402458,65.527778
XE069,247.198917,65.685861
XE070,260.076917,65.860361
XE071,273.044458,66.042583
