tile_id,plate,dec,s0_rows,straddles_ra0,gaia_medsep_raw_as,gaia_medsep_released_as,verdict
tile_RA24.686_DECp33.529,XE296,33.529,291,False,7.54,4.97,cleared
tile_RA306.161_DECp63.564,XE074,63.564,186,False,1.74,0.29,cleared
tile_RA304.422_DECp69.130,XE074,69.13,152,False,4.62,0.33,cleared
tile_RA308.254_DECp63.651,XE074,63.651,142,False,1.21,0.21,cleared
tile_RA305.923_DECp64.493,XE074,64.493,121,False,0.98,0.19,cleared
tile_RA305.668_DECp65.422,XE074,65.422,105,False,0.59,0.24,cleared
tile_RA357.537_DECp76.572,XE027,76.572,2561,True,10.72,10.74,defect
tile_RA356.482_DECp80.423,XE027,80.423,2331,True,13.16,13.18,defect
tile_RA3.543_DECp81.107,XE027,81.107,1674,True,11.89,11.84,defect
tile_RA359.002_DECp58.820,XE110,58.82,1397,True,6.01,5.96,defect
tile_RA358.758_DECp63.848,XE077,63.848,1360,True,5.23,5.21,defect
tile_RA349.417_DECp86.548,XE011,86.548,1051,True,17.8,17.63,defect
tile_RA11.594_DECp87.035,XE011,87.035,1045,True,13.29,13.41,defect
tile_RA359.316_DECp41.799,XE192,41.799,854,True,8.76,4.08,defect
